countryterritoryCode;countriesAndTerritories;CasosCovid;MuertesCovid;Poblacion_2019;TasaMortalidadCovid;GastoSalud_PIB;Doctores;MortalidadAdultos_Precovid
PAK;Pakistan;440787;8832;216565317;4,1;2,7;9,3;167,6
PAN;Panama;193007;3356;4246440;79,0;6,9;15,6;113,4
PER;Peru;984973;36677;32510462;112,8;4,9;10,9;128,2
PHL;Philippines;449400;8733;108116622;8,1;4,3;9,4;197,5
PNG;Papua_New_Guinea;725;8;8776119;0,1;2,5;0,6;229,9
POL;Poland;1135676;22864;37972812;60,2;6,4;22,8;120,5
PRT;Portugal;348744;5559;10276617;54,1;9,3;46,0;80,2
PRY;Paraguay;93582;1953;7044639;27,7;6,2;13,2;147,6
QAT;Qatar;140961;240;2832071;8,5;2,4;26,6;60,3
ROU;Romania;556335;13385;19414458;68,9;5,1;25,7;139,7
RUS;Russia;2653928;46941;145872260;32,2;5,1;49,0;223,0
RWA;Rwanda;6659;56;12626938;0,4;7,5;1,0;215,3
SAU;Saudi_Arabia;359888;6048;34268529;17,6;5,1;24,9;91,6
SDN;Sudan;21386;1347;42813237;3,1;5,9;3,3;233,0
SEN;Senegal;17075;349;16296362;2,1;4,2;1,5;198,2
SGP;Singapore;58320;29;5804343;0,5;3,9;19,1;55,9
SLB;Solomon_Islands;17;0;669821;0,0;5,9;1,8;157,2
SLE;Sierra_Leone;2440;75;7813207;1,0;15,1;0,4;406,5
SLV;El_Salvador;41880;1205;6453550;18,7;7,7;22,2;187,4
SRB;Serbia;266432;2331;6963764;33,5;9,0;25,7;108,7
STP;Sao_Tome_and_Principe;1009;17;215048;7,9;6,6;3,2;196,9
SUR;Suriname;5353;117;581363;20,1;5,6;10,5;185,7
SVK;Slovakia;132984;1175;5450421;21,6;7,2;34,1;112,3
SVN;Slovenia;96314;1459;2080908;70,1;8,5;27,7;77,1
SWE;Sweden;320098;7514;10230185;73,4;10,5;40,7;55,5
SWZ;Eswatini;6768;127;1148133;11,1;7,4;1,0;438,1
SYC;Seychelles;187;0;97741;0,0;4,9;15,7;168,8
SYR;Syria;9166;518;17070132;3,0;3,4;14,3;263,1
TCD;Chad;1770;102;15946882;0,6;4,2;0,4;369,4
TGO;Togo;3251;66;8082359;0,8;6,2;0,7;280,9
THA;Thailand;4237;60;69625581;0,1;3,6;6,4;153,6
TJK;Tajikistan;12704;88;9321023;0,9;6,6;17,2;128,9
TLS;Timor_Leste;31;0;1293120;0,0;2,9;7,1;156,3
TTO;Trinidad_and_Tobago;6879;122;1394969;8,7;5,8;32,5;175,3
TUN;Tunisia;111361;3894;11694721;33,3;6,8;12,8;95,2
TUR;Turkey;995471;16199;82003882;19,8;4,4;17,7;110,4
